year,title,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,rated,response,language,country,writer,metascore,imdb_rating,director,released_day,released_month,released,actors,genre,awards,runtime,type,imdb_votes,released_year,Budget,Domestic,International
2010,The Town,37000000,92186262.0,152566881.0,2010FAIL,39524578,98476300.0,162976800.0,R,True,English,USA,"Peter Craig (screenplay), Ben Affleck (screenplay), Aaron Stockard (screenplay), Chuck Hogan (novel)",74.0,7.6,Ben Affleck,17,September,2010-09-17,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",Crime,Nominated for 1 Oscar. Another 9 wins & 24 nominations.,125 min,movie,"2,22,873",2010,37,92,152
2010,The Twilight Saga: Eclipse,68000000,300531751.0,699590681.0,2010PASS,72639765,321037586.0,747325041.0,PG-13,True,English,USA,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)",58.0,4.9,David Slade,30,June,2010-06-30,"Xavier Samuel, Kristen Stewart, Robert Pattinson, Billy Burke",Adventure,18 wins & 30 nominations.,124 min,movie,"1,44,112",2010,68,300,699
2010,The Wolfman,150000000,62189884.0,142634358.0,2010FAIL,160234776,66433214.0,152366563.0,R,True,"English, Romanian",USA,"Andrew Kevin Walker (screenplay), David Self (screenplay), Curt Siodmak",43.0,5.8,Joe Johnston,12,February,2010-02-12,"Simon Merrells, Gemma Whelan, Emily Blunt, Benicio Del Toro",Drama,Won 1 Oscar. Another 2 wins & 4 nominations.,103 min,movie,"78,000",2010,150,62,142
2010,Tiny Furniture,50000,391674.0,424149.0,2010PASS,53412,418399.0,453089.0,Not Rated,True,English,USA,Lena Dunham,72.0,6.4,Lena Dunham,30,March,2012-03-30,"Lena Dunham, Laurie Simmons, Grace Dunham, Rachel Howe",Comedy,3 wins & 4 nominations.,98 min,movie,"7,869",2012,0,0,0
2010,Toy Story 3,200000000,415004880.0,1063759456.0,2010FAIL,213646368,443321427.0,1136341723.0,G,True,"English, Spanish",USA,"John Lasseter (story), Andrew Stanton (story), Lee Unkrich (story), Michael Arndt (screenplay)",92.0,8.5,Lee Unkrich,18,June,2010-06-18,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",Animation,Won 2 Oscars. Another 36 wins & 44 nominations.,103 min,movie,"3,54,090",2010,200,415,1063
2010,True Grit,35000000,171243005.0,252276928.0,2010PASS,37388114,182927231.0,269490247.0,PG-13,True,English,USA,"Joel Coen (screenplay), Ethan Coen (screenplay), Charles Portis (novel)",80.0,7.7,"Ethan Coen, Joel Coen",22,December,2010-12-22,"Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin",Adventure,Nominated for 10 Oscars. Another 30 wins & 85 nominations.,110 min,movie,"1,84,711",2010,35,171,252
2010,Unstoppable,95000000,81562942.0,169511609.0,2010FAIL,101482025,87128132.0,181077698.0,PG-13,True,English,USA,Mark Bomback,69.0,6.8,Tony Scott,12,November,2010-11-12,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee",Action,Nominated for 1 Oscar. Another 1 win & 12 nominations.,98 min,movie,"1,13,239",2010,95,81,169
2010,Wall Street: Money Never Sleeps,70000000,52474616.0,137431619.0,2010FAIL,74776229,56055056.0,146808831.0,PG-13,True,English,USA,"Allan Loeb, Stephen Schiff, Stanley Weiser (characters), Oliver Stone (characters)",59.0,6.3,Oliver Stone,24,September,2010-09-24,"Richard Stratton, Harry Kerrigan, Michael Douglas, Carey Mulligan",Drama,Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,133 min,movie,"69,099",2010,70,52,137
2010,Welcome to the Rileys,10000000,152857.0,312857.0,2010PASS,10682318,163287.0,334204.0,R,True,English,UK,Ken Hixon,50.0,7.0,Jake Scott,18,November,2011-11-18,"James Gandolfini, Kristen Stewart, Melissa Leo, Joe Chrest",Drama,1 win & 2 nominations.,110 min,movie,"15,740",2011,10,0,0
2010,Yogi Bear,80000000,100246011.0,202284317.0,2010FAIL,85458547,107085981.0,216086548.0,PG,True,English,USA,"J.R. Ventimilia, Joshua Sternin, Brad Copeland",35.0,4.5,Eric Brevig,17,December,2010-12-17,"Dan Aykroyd, Justin Timberlake, Anna Faris, Tom Cavanagh",Animation,2 wins & 1 nomination.,80 min,movie,"13,074",2010,80,100,202
2010,You Again,20000000,25702053.0,32838945.0,2010PASS,21364637,27455751.0,35079607.0,PG,True,English,USA,Moe Jelline,28.0,5.8,Andy Fickman,24,September,2010-09-24,"Kristen Bell, Jamie Lee Curtis, Sigourney Weaver, Odette Annable",Comedy,1 win.,105 min,movie,"31,804",2010,20,25,32
2010,You Will Meet a Tall Dark Stranger,15000000,3247816.0,34247816.0,2010PASS,16023478,3469420.0,36584608.0,R,True,English,USA,Woody Allen,51.0,6.3,Woody Allen,27,August,2010-08-27,"Gemma Jones, Pauline Collins, Anthony Hopkins, Rupert Frazer",Comedy,2 wins.,98 min,movie,"27,427",2010,15,3,34
2009,(500) Days of Summer,7500000,32391374.0,60803210.0,2009FAIL,8142987,35168338.0,66015966.0,PG-13,True,"English, French, Swedish",USA,"Scott Neustadter, Michael H. Weber",76.0,7.8,Marc Webb,7,August,2009-08-07,"Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz",Comedy,Nominated for 2 Golden Globes. Another 10 wins & 22 nominations.,95 min,movie,"2,73,790",2009,7,32,60
2009,17 Again,40000000,64167069.0,139474906.0,2009PASS,43429264,69668214.0,151432312.0,PG-13,True,English,USA,Jason Filardi,48.0,6.4,Burr Steers,17,April,2009-04-17,"Zac Efron, Leslie Mann, Thomas Lennon, Matthew Perry",Comedy,3 wins & 4 nominations.,102 min,movie,"1,04,297",2009,40,64,139
2009,2012,200000000,166112167.0,788408539.0,2009FAIL,217146319,180353228.0,856000062.0,PG-13,True,"English, French, Tibetan, Mandarin, Russian, Hindi, Portuguese, Latin, Italian",USA,"Roland Emmerich, Harald Kloser",49.0,5.8,Roland Emmerich,13,November,2009-11-13,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton",Action,4 wins & 16 nominations.,158 min,movie,"2,11,022",2009,200,166,788
2009,9,30000000,31749894.0,48559999.0,2009FAIL,32571948,34471863.0,52723125.0,PG-13,True,English,USA,"Pamela Pettler (screenplay), Shane Acker (story)",60.0,7.1,Shane Acker,9,September,2009-09-09,"Christopher Plummer, Martin Landau, John C. Reilly, Crispin Glover",Animation,6 nominations.,79 min,movie,"86,771",2009,30,31,48
2009,A Perfect Getaway,14000000,15515460.0,22815460.0,2009FAIL,15200242,16845625.0,24771466.0,R,True,English,USA,David Twohy,63.0,6.5,David Twohy,7,August,2009-08-07,"Steve Zahn, Timothy Olyphant, Milla Jovovich, Kiele Sanchez",Adventure,1 nomination.,98 min,movie,"46,762",2009,14,15,22
2009,A Serious Man,7000000,9228788.0,30360570.0,2009FAIL,7600121,10019987.0,32963430.0,R,True,"English, Yiddish, Hebrew",USA,"Joel Coen, Ethan Coen",79.0,7.0,"Ethan Coen, Joel Coen",20,November,2009-11-20,"Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick",Comedy,Nominated for 2 Oscars. Another 20 wins & 39 nominations.,106 min,movie,"79,779",2009,7,9,30
2009,A Single Man,7000000,9176000.0,28142379.0,2009FAIL,7600121,9962673.0,30555070.0,R,True,"English, Spanish",USA,"Christopher Isherwood (novel), Tom Ford (written for the screen by), David Scearce (written for the screen by)",77.0,7.6,Tom Ford,17,December,2009-12-17,"Colin Firth, Julianne Moore, Nicholas Hoult, Matthew Goode",Drama,Nominated for 1 Oscar. Another 22 wins & 28 nominations.,99 min,movie,"66,067",2009,7,9,28
2009,Adam,3200000,2277396.0,2828590.0,2009FAIL,3474341,2472641.0,3071090.0,PG-13,True,English,USA,Max Mayer,56.0,7.3,Max Mayer,7,August,2009-08-07,"Hugh Dancy, Rose Byrne, Peter Gallagher, Amy Irving",Drama,2 wins & 2 nominations.,99 min,movie,"23,179",2009,3,2,2
2009,Adventureland,9800000,16044025.0,17144025.0,2009FAIL,10640170,17419505.0,18613810.0,R,True,English,USA,Greg Mottola,76.0,6.8,Greg Mottola,3,April,2009-04-03,"Jesse Eisenberg, Kelsey Ford, Michael Zegen, Ryan McFarland",Comedy,3 nominations.,107 min,movie,"1,06,482",2009,9,16,17
2009,Agora,70000000,619423.0,38992292.0,2009FAIL,76001212,672527.0,42335163.0,R,True,English,Spain,"Alejandro Amenábar, Mateo Gil",55.0,7.2,Alejandro Amenábar,9,October,2009-10-09,"Rachel Weisz, Max Minghella, Oscar Isaac, Ashraf Barhom",Adventure,9 wins & 12 nominations.,127 min,movie,"40,679",2009,70,0,38
2009,Ajami,1000000,621859.0,621859.0,2009FAIL,1085732,675172.0,675172.0,,True,"Arabic, Hebrew",Germany,"Scandar Copti, Yaron Shani",82.0,7.3,"Scandar Copti, Yaron Shani",17,September,2009-09-17,"Fouad Habash, Nisrine Rihan, Elias Saba, Youssef Sahwani",Crime,Nominated for 1 Oscar. Another 15 wins & 7 nominations.,124 min,movie,"4,105",2009,1,0,0
2009,All About Steve,15000000,33862903.0,40127259.0,2009PASS,16285974,36766024.0,43567433.0,PG-13,True,"English, Spanish",USA,Kim Barker,17.0,4.8,Phil Traill,4,September,2009-09-04,"Sandra Bullock, Thomas Haden Church, Bradley Cooper, Ken Jeong",Comedy,2 wins & 3 nominations.,99 min,movie,"26,284",2009,15,33,40
2009,An Education,7500000,12574914.0,29652736.0,2009PASS,8142987,13652981.0,32194912.0,PG-13,True,"English, French",UK,"Lynn Barber (memoir), Nick Hornby (screenplay)",85.0,7.3,Lone Scherfig,30,October,2009-10-30,"Carey Mulligan, Olivia Williams, Alfred Molina, Cara Seymour",Drama,Nominated for 3 Oscars. Another 25 wins & 55 nominations.,100 min,movie,"93,103",2009,7,12,29
2009,Armored,20000000,15988876.0,23661038.0,2009FAIL,21714632,17359628.0,25689537.0,PG-13,True,English,USA,James V. Simpson,50.0,5.7,Nimród Antal,4,December,2009-12-04,"Matt Dillon, Jean Reno, Laurence Fishburne, Amaury Nolasco",Action,,88 min,movie,"22,916",2009,20,15,23
2009,Astro Boy,65000000,19551067.0,44093014.0,2009FAIL,70572554,21227211.0,47873178.0,PG,True,English,Hong Kong,"Osamu Tezuka (manga), David Bowers (story), Timothy Harris, David Bowers",53.0,6.4,David Bowers,23,October,2009-10-23,"Charlize Theron, Freddie Highmore, Ryan Stiles, Eugene Levy",Animation,4 nominations.,94 min,movie,"20,098",2009,65,19,44
2009,Avatar,425000000,760507625.0,2783918982.0,2009FAIL,461435929,825707158.0,3022588801.0,PG-13,True,"English, Spanish",USA,James Cameron,83.0,8.0,James Cameron,18,December,2009-12-18,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",Action,Won 3 Oscars. Another 58 wins & 74 nominations.,162 min,movie,"6,57,389",2009,425,760,2783
2009,Away We Go,21000000,9451946.0,10108016.0,2009PASS,22800364,10262276.0,10974592.0,R,True,English,USA,"Dave Eggers, Vendela Vida",58.0,7.1,Sam Mendes,26,June,2009-06-26,"John Krasinski, Maya Rudolph, Carmen Ejogo, Catherine O'Hara",Comedy,6 nominations.,98 min,movie,"39,473",2009,21,9,10
2009,Bride Wars,30000000,58715510.0,115150424.0,2009PASS,32571948,63749284.0,125022454.0,PG,True,English,USA,"Greg DePaul (screenplay), Casey Wilson (screenplay), June Diane Raphael (screenplay), Greg DePaul (story)",24.0,5.3,Gary Winick,8,January,2009-01-08,"Kate Hudson, Anne Hathaway, Bryan Greenberg, Chris Pratt",Comedy,1 win & 8 nominations.,89 min,movie,"54,072",2009,30,58,115
2009,Bright Star,8500000,4444637.0,17260680.0,2009PASS,9228719,4825683.0,18740466.0,PG,True,"English, French",UK,"Jane Campion, Jane Campion (screenplay), Andrew Motion (biography ""Keats"")",81.0,7.0,Jane Campion,6,November,2009-11-06,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox",Biography,Nominated for 1 Oscar. Another 10 wins & 30 nominations.,119 min,movie,"17,272",2009,8,4,17
2009,Brothers,26000000,28544157.0,45043870.0,2009PASS,28229022,30991293.0,48905553.0,R,True,English,USA,"David Benioff (screenplay), Susanne Bier (motion picture ""Brødre""), Anders Thomas Jensen (motion picture ""Brødre"")",58.0,7.2,Jim Sheridan,4,December,2009-12-04,"Tobey Maguire, Jake Gyllenhaal, Natalie Portman, Sam Shepard",Drama,Nominated for 2 Golden Globes. Another 1 win & 10 nominations.,105 min,movie,"67,346",2009,26,28,45
2009,Capitalism: A Love Story,20000000,14363397.0,19121531.0,2009FAIL,21714632,15594794.0,20760850.0,R,True,"English, Russian, Spanish",USA,Michael Moore,61.0,7.4,Michael Moore,2,October,2009-10-02,"Thora Birch, William Black, Jimmy Carter, Elijah Cummings",Documentary,5 wins & 7 nominations.,127 min,movie,"28,876",2009,20,14,19
2009,Case 39,27000000,13261851.0,29302804.0,2009PASS,29314753,14398811.0,31814980.0,R,True,English,USA,Ray Wright,25.0,6.2,Christian Alvart,1,October,2010-10-01,"Renée Zellweger, Jodelle Ferland, Ian McShane, Bradley Cooper",Horror,2 nominations.,109 min,movie,"45,485",2010,27,13,29
2009,Chloe,13000000,3075255.0,9675172.0,2009FAIL,14114511,3338902.0,10504640.0,R,True,English,USA,"Erin Cressida Wilson (screenplay), Anne Fontaine (motion picture ""Nathalie"")",48.0,6.3,Atom Egoyan,10,March,2010-03-10,"Julianne Moore, Liam Neeson, Amanda Seyfried, Max Thieriot",Drama,2 wins & 4 nominations.,96 min,movie,"43,726",2010,13,3,9
2009,Cloudy with a Chance of Meatballs,100000000,124870275.0,236827677.0,2009FAIL,108573160,135575603.0,257131292.0,PG,True,English,USA,"Phil Lord (written for the screen by), Christopher Miller (written for the screen by), Judi Barrett (book), Ron Barrett (book), Rob Greenberg (additional screenplay material)",66.0,7.0,"Phil Lord, Christopher Miller",18,September,2009-09-18,"Bill Hader, Anna Faris, James Caan, Andy Samberg",Animation,Nominated for 1 Golden Globe. Another 1 win & 10 nominations.,90 min,movie,"1,02,371",2009,100,124,236
2009,Coraline,60000000,75286229.0,126037057.0,2009PASS,65143896,81740638.0,136842415.0,PG,True,"English, Russian",USA,"Henry Selick (screenplay), Neil Gaiman (book)",80.0,7.7,Henry Selick,6,February,2009-02-06,"Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French",Animation,Nominated for 1 Oscar. Another 8 wins & 24 nominations.,100 min,movie,"1,10,199",2009,60,75,126
2009,Daybreakers,20000000,30101577.0,51401577.0,2009FAIL,21714632,32682233.0,55808316.0,R,True,English,Australia,"Michael Spierig, Peter Spierig",57.0,6.5,"Michael Spierig, Peter Spierig",8,January,2010-01-08,"Harriet Minto-Day, Jay Laga'aia, Damien Garvey, Sahaj Dumpleton",Action,4 wins & 4 nominations.,98 min,movie,"86,893",2010,20,30,51
2009,Dead Snow,800000,46742.0,2194020.0,2009FAIL,868585,50749.0,2382117.0,Not Rated,True,Norwegian,Norway,"Tommy Wirkola, Stig Frode Henriksen",61.0,6.4,Tommy Wirkola,9,January,2009-01-09,"Vegar Hoel, Stig Frode Henriksen, Charlotte Frogner, Lasse Valdal",Comedy,1 win.,91 min,movie,"41,679",2009,0,0,2
2009,District 9,30000000,115646235.0,215196627.0,2009FAIL,32571948,125560771.0,233645777.0,R,True,"English, Nyanja, Afrikaans, Zulu, Xhosa, Southern Sotho",USA,"Neill Blomkamp, Terri Tatchell",81.0,8.0,Neill Blomkamp,14,August,2009-08-14,"Sharlto Copley, Jason Cope, Nathalie Boltt, Sylvaine Strike",Action,Nominated for 4 Oscars. Another 15 wins & 52 nominations.,112 min,movie,"4,15,390",2009,30,115,215
2009,Drag Me to Hell,30000000,42100625.0,91388487.0,2009PASS,32571948,45709979.0,99223368.0,PG-13,True,"English, Spanish, Hungarian, Czech",USA,"Sam Raimi, Ivan Raimi",83.0,6.7,Sam Raimi,29,May,2009-05-29,"Alison Lohman, Justin Long, Lorna Raver, Dileep Rao",Horror,4 wins & 7 nominations.,99 min,movie,"1,26,305",2009,30,42,91
2009,Enter the Void,16000000,337997.0,337997.0,2009FAIL,17371706,366974.0,366974.0,Not Rated,True,"English, Japanese",France,"Gaspar Noé, Lucile Hadzihalilovic (with the help of)",69.0,7.3,Gaspar Noé,5,May,2010-05-05,"Paz de la Huerta, Nathaniel Brown, Cyril Roy, Olly Alexander",Drama,3 wins & 3 nominations.,161 min,movie,"28,229",2010,16,0,0
2009,Fantastic Mr. Fox,40000000,21002919.0,46498922.0,2009FAIL,43429264,22803533.0,50485349.0,PG,True,"English, French",USA,"Roald Dahl (novel), Wes Anderson (screenplay), Noah Baumbach (screenplay)",83.0,7.8,Wes Anderson,25,November,2009-11-25,"George Clooney, Meryl Streep, Jason Schwartzman, Bill Murray",Animation,Nominated for 2 Oscars. Another 30 wins & 20 nominations.,87 min,movie,"98,594",2009,40,21,46
2009,Fired Up!,20000000,17231291.0,18608570.0,2009FAIL,21714632,18708557.0,20203912.0,PG-13,True,English,USA,Will Gluck,31.0,6.2,Will Gluck,20,February,2009-02-20,"Nicholas D'Agosto, Eric Christian Olsen, Sarah Roemer, Molly Sims",Comedy,1 win.,90 min,movie,"30,741",2009,20,17,18
2009,Fish Tank,3000000,374675.0,5922292.0,2009PASS,3257195,406796.0,6430020.0,Not Rated,True,English,UK,Andrea Arnold,81.0,7.3,Andrea Arnold,11,September,2009-09-11,"Katie Jarvis, Michael Fassbender, Kierston Wareing, Rebecca Griffiths",Drama,20 wins & 22 nominations.,123 min,movie,"36,304",2009,3,0,5
2009,Friday the 13th,17000000,65002019.0,91700771.0,2009FAIL,18457437,70574746.0,99562425.0,R,True,English,USA,"Damian Shannon (screenplay), Mark Swift (screenplay), Damian Shannon (story), Mark Swift (story), Mark Wheaton (story), Victor Miller (characters)",34.0,5.6,Marcus Nispel,13,February,2009-02-13,"Jared Padalecki, Danielle Panabaker, Amanda Righetti, Travis Van Winkle",Horror,2 wins & 1 nomination.,97 min,movie,"59,029",2009,17,65,91
2009,Funny People,72500000,51855045.0,71880305.0,2009FAIL,78715541,56300661.0,78042718.0,R,True,English,USA,Judd Apatow,60.0,6.4,Judd Apatow,31,July,2009-07-31,"Adam Sandler, Seth Rogen, Leslie Mann, Eric Bana",Comedy,2 nominations.,146 min,movie,"87,312",2009,72,51,71
2009,G-Force,150000000,119436770.0,287389685.0,2009FAIL,162859739,129676275.0,312028062.0,PG,True,English,USA,"Cormac Wibberley (screenplay), Marianne Wibberley (screenplay), Hoyt Yeatman (story), David P.I. James (story)",41.0,5.1,Hoyt Yeatman,24,July,2009-07-24,"Bill Nighy, Will Arnett, Zach Galifianakis, Kelli Garner",Action,1 win & 1 nomination.,88 min,movie,"26,654",2009,150,119,287
2009,G.I. Joe: The Rise of Cobra,175000000,150201498.0,302469017.0,2009FAIL,190003029,163078512.0,328400169.0,PG-13,True,"English, French, Scottish Gaelic",USA,"Stuart Beattie (screenplay), David Elliot (screenplay), Paul Lovett (screenplay), Michael Gordon (story), Stuart Beattie (story), Stephen Sommers (story)",32.0,5.8,Stephen Sommers,7,August,2009-08-07,"Adewale Akinnuoye-Agbaje, Christopher Eccleston, Grégory Fitoussi, Joseph Gordon-Levitt",Action,3 wins & 11 nominations.,118 min,movie,"1,41,426",2009,175,150,302
2009,Gamer,50000000,20534907.0,35062683.0,2009FAIL,54286580,22295397.0,38068663.0,R,True,English,USA,"Mark Neveldine, Brian Taylor",27.0,5.8,"Mark Neveldine, Brian Taylor",4,September,2009-09-04,"Gerard Butler, Amber Valletta, Michael C. Hall, Kyra Sedgwick",Action,1 win.,95 min,movie,"90,396",2009,50,20,35
2009,Get Low,7000000,9176933.0,9696933.0,2009FAIL,7600121,9963686.0,10528267.0,PG-13,True,English,USA,"Chris Provenzano (screenplay), C. Gaby Mitchell (screenplay), Chris Provenzano (story), Scott Seeke (story)",77.0,7.1,Aaron Schneider,22,October,2010-10-22,"Robert Duvall, Sissy Spacek, Bill Murray, Lucas Black",Drama,2 wins & 19 nominations.,103 min,movie,"15,449",2010,7,9,9
2009,Harry Brown,7300000,1818681.0,6294140.0,2009FAIL,7925841,1974599.0,6833747.0,R,True,English,UK,Gary Young (screenplay),55.0,7.3,Daniel Barber,11,November,2009-11-11,"Michael Caine, Emily Mortimer, Charlie Creed-Miles, David Bradley",Action,1 win & 3 nominations.,103 min,movie,"61,995",2009,7,1,6
2009,Harry Potter and the Half-Blood Prince,250000000,301959197.0,934416487.0,2009PASS,271432899,327846641.0,1014525504.0,PG,True,English,UK,"Steve Kloves (screenplay), J.K. Rowling (novel)",78.0,7.4,David Yates,15,July,2009-07-15,"Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Gallacher",Adventure,Nominated for 1 Oscar. Another 7 wins & 25 nominations.,153 min,movie,"2,30,099",2009,250,301,934
2009,I Come with the Rain,18000000,0.0,627422.0,2009FAIL,19543169,,681212.0,Not Rated,True,English,France,Tran Anh Hung,,5.4,Tran Anh Hung,22,April,2011-04-22,"Josh Hartnett, Tran Nu Yên-Khê, Byung-hun Lee, Takuya Kimura",Thriller,,114 min,movie,"2,132",2011,18,0,0
2009,I Love You Phillip Morris,13000000,2037459.0,15144685.0,2009FAIL,14114511,2212134.0,16443063.0,R,True,English,France,"John Requa, Glenn Ficarra, Steve McVicker (book)",65.0,6.7,"Glenn Ficarra, John Requa",10,February,2010-02-10,"Jim Carrey, Ewan McGregor, Leslie Mann, Rodrigo Santoro",Biography,1 win & 4 nominations.,98 min,movie,"62,600",2010,13,2,15
2009,"I Love You, Man",40000000,71440011.0,91729503.0,2009FAIL,43429264,77564677.0,99593620.0,R,True,English,USA,"John Hamburg (screenplay), Larry Levin (screenplay), Larry Levin (story)",70.0,7.1,John Hamburg,20,March,2009-03-20,"Paul Rudd, Rashida Jones, Sarah Burns, Greg Levine",Comedy,1 win & 5 nominations.,105 min,movie,"1,36,399",2009,40,71,91
2009,Ice Age: Dawn of the Dinosaurs,90000000,196573705.0,886968695.0,2009FAIL,97715844,213426283.0,963009937.0,PG,True,English,USA,"Peter Ackerman (screenplay), Michael Berg (screenplay), Yoni Brenner (screenplay), Jason Carter Eaton (story), Mike Reiss (screenplay)",50.0,7.1,"Carlos Saldanha, Mike Thurmeier",1,July,2009-07-01,"Eunice Cho, Karen Disher, Harrison Fahn, Maile Flanagan",Animation,1 win & 12 nominations.,94 min,movie,"1,12,581",2009,90,196,886
2009,Inglourious Basterds,70000000,120831050.0,316971720.0,2009FAIL,76001212,131190089.0,344146212.0,R,True,"English, German, French, Italian",USA,Quentin Tarantino,69.0,8.3,"Quentin Tarantino, Eli Roth",21,August,2009-08-21,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth",Adventure,Won 1 Oscar. Another 76 wins & 63 nominations.,153 min,movie,"5,56,360",2009,70,120,316
2009,Invictus,49000000,37491364.0,124491364.0,2009FAIL,53200848,40705558.0,135164207.0,PG-13,True,"English, Afrikaans, Maori, Zulu, Xhosa, Southern Sotho",USA,"Anthony Peckham (screenplay), John Carlin (book)",74.0,7.4,Clint Eastwood,11,December,2009-12-11,"Morgan Freeman, Matt Damon, Tony Kgoroge, Patrick Mofokeng",Biography,Nominated for 2 Oscars. Another 8 wins & 21 nominations.,134 min,movie,"97,525",2009,49,37,124
2009,Knowing,50000000,79957634.0,187858642.0,2009FAIL,54286580,86812530.0,203964063.0,PG-13,True,English,USA,"Ryne Douglas Pearson (screenplay), Juliet Snowden (screenplay), Stiles White (screenplay), Ryne Douglas Pearson (story)",41.0,6.2,Alex Proyas,20,March,2009-03-20,"Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson",Action,1 win & 3 nominations.,121 min,movie,"1,52,925",2009,50,79,187
2009,Law Abiding Citizen,53000000,73357727.0,131159781.0,2009FAIL,57543775,79646802.0,142404318.0,R,True,English,USA,Kurt Wimmer,34.0,7.4,F. Gary Gray,16,October,2009-10-16,"Jamie Foxx, Gerard Butler, Colm Meaney, Bruce McGill",Crime,2 wins & 5 nominations.,109 min,movie,"1,67,592",2009,53,73,131
2009,Life During Wartime,4500000,281447.0,281447.0,2009PASS,4885792,305576.0,305576.0,R,True,English,USA,Todd Solondz,69.0,6.5,Todd Solondz,16,April,2010-04-16,"Shirley Henderson, Michael K. Williams, Roslyn Ruff, Allison Janney",Comedy,3 wins & 5 nominations.,98 min,movie,"4,524",2010,4,0,0
2009,Monsters vs Aliens,175000000,198351526.0,381687380.0,2009FAIL,190003029,215356519.0,414410048.0,PG,True,English,USA,"Maya Forbes (screenplay), Wallace Wolodarsky (screenplay), Rob Letterman (screenplay), Jonathan Aibel (screenplay), Glenn Berger (screenplay), Rob Letterman (story), Conrad Vernon (story)",56.0,6.6,"Rob Letterman, Conrad Vernon",27,March,2009-03-27,"Reese Witherspoon, Seth Rogen, Hugh Laurie, Will Arnett",Animation,3 wins & 8 nominations.,94 min,movie,"84,700",2009,175,198,381
2009,Moon,5000000,5010163.0,10676073.0,2009FAIL,5428658,5439692.0,11591350.0,R,True,"English, Spanish",UK,"Duncan Jones (story), Nathan Parker",67.0,8.0,Duncan Jones,17,July,2009-07-17,"Sam Rockwell, Kevin Spacey, Dominique McElligott, Rosie Shaw",Drama,Won 1 BAFTA Film Award. Another 21 wins & 20 nominations.,97 min,movie,"1,86,219",2009,5,5,10
2009,Mother and Child,7000000,1110509.0,5010509.0,2009PASS,7600121,1205715.0,5440068.0,R,True,English,USA,Rodrigo García,64.0,7.3,Rodrigo García,2,July,2010-07-02,"Alexandria M. Salling, Connor Kramme, Annette Bening, Eileen Ryan",Drama,1 win & 9 nominations.,125 min,movie,"7,735",2010,7,1,5
2009,Nine,80000000,19676965.0,53508858.0,2009FAIL,86858528,21363903.0,58096258.0,PG-13,True,"English, Italian, French",USA,"Michael Tolkin (screenplay), Anthony Minghella (screenplay), Arthur Kopit (Broadway musical ""Nine""), Maury Yeston (Broadway musical ""Nine""), Mario Fratti (Broadway musical ""Nine"" Italian original)",49.0,5.9,Rob Marshall,25,December,2009-12-25,"Daniel Day-Lewis, Sandro Dori, Nicole Kidman, Marion Cotillard",Drama,Nominated for 4 Oscars. Another 5 wins & 35 nominations.,118 min,movie,"32,732",2009,80,19,53
2009,Ninja Assassin,50000000,38122883.0,61622883.0,2009FAIL,54286580,41391219.0,66905911.0,R,True,English,USA,"Matthew Sand (screenplay), J. Michael Straczynski (screenplay), Matthew Sand (story)",34.0,6.4,James McTeigue,25,November,2009-11-25,"Rain, Joon Lee, Jonathan Chan-Pensley, Ill-Young Kim",Action,,99 min,movie,"49,383",2009,50,38,61
2009,Nowhere Boy,1900000,1445366.0,7785229.0,2009FAIL,2062890,1569280.0,8452669.0,R,True,English,UK,Matt Greenhalgh (screenplay),67.0,7.2,Sam Taylor-Johnson,25,December,2009-12-25,"Aaron Taylor-Johnson, Kristin Scott Thomas, David Threlfall, Josh Bolt",Biography,Nominated for 3 BAFTA Film Awards. Another 5 wins & 18 nominations.,98 min,movie,"22,601",2009,1,1,7
2009,Ondine,12000000,550472.0,550472.0,2009PASS,13028779,597665.0,597665.0,PG-13,True,"English, Romanian, French",Ireland,Neil Jordan,65.0,6.8,Neil Jordan,5,March,2010-03-05,"Colin Farrell, Alicja Bachleda, Dervla Kirwan, Alison Barry",Drama,6 wins & 6 nominations.,111 min,movie,"13,776",2010,12,0,0
2009,Paa,4300000,199228.0,9791282.0,2009FAIL,4668646,216308.0,10630704.0,,True,Hindi,India,R. Balki,30.0,7.1,R. Balki,4,December,2009-12-04,"Amitabh Bachchan, Abhishek Bachchan, Vidya Balan, Paresh Rawal",Comedy,8 wins & 9 nominations.,133 min,movie,"4,476",2009,4,0,9
