year,title,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,rated,response,language,country,writer,metascore,imdb_rating,director,released_day,released_month,released,actors,genre,awards,runtime,type,imdb_votes,released_year,Budget,Domestic,International
2013,Cloudy with a Chance of Meatballs 2,78000000,119640264.0,271725448.0,2013FAIL,78000000,119640264.0,271725448.0,PG,True,English,USA,"Erica Rivinoja (screenplay), John Francis Daley (screenplay), Jonathan M. Goldstein (screenplay), Phil Lord (story), Christopher Miller (story), Erica Rivinoja (story), Judi Barrett (characters), Ron Barrett (characters)",59.0,6.5,"Cody Cameron, Kris Pearn",27,September,2013-09-27,"Bill Hader, Anna Faris, James Caan, Will Forte",Animation,8 nominations.,95 min,movie,"26,133",2013,78,119,271
2013,Despicable Me 2,76000000,368065385.0,970766005.0,2013PASS,76000000,368065385.0,970766005.0,PG,True,English,USA,"Cinco Paul, Ken Daurio",62.0,7.6,"Pierre Coffin, Chris Renaud",3,July,2013-07-03,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove",Animation,Nominated for 2 Oscars. Another 10 wins & 31 nominations.,98 min,movie,"1,60,919",2013,76,368,970
2013,Don Jon,5500000,24477704.0,26377704.0,2013FAIL,5500000,24477704.0,26377704.0,R,True,English,USA,Joseph Gordon-Levitt,66.0,6.8,Joseph Gordon-Levitt,27,September,2013-09-27,"Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore, Tony Danza",Comedy,2 wins & 6 nominations.,90 min,movie,"1,05,210",2013,5,24,26
2013,Elysium,120000000,93050117.0,286192091.0,2013PASS,120000000,93050117.0,286192091.0,R,True,"English, Spanish, French, Afrikaans",USA,Neill Blomkamp,61.0,6.7,Neill Blomkamp,9,August,2013-08-09,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga",Action,5 nominations.,109 min,movie,"1,94,012",2013,120,93,286
2013,Epic,100000000,107518682.0,268418682.0,2013PASS,100000000,107518682.0,268418682.0,PG,True,English,USA,"James V. Hart (screenplay), William Joyce (screenplay), Daniel Shere (screenplay), Tom J. Astle (screenplay), Matt Ember (screenplay), William Joyce (story), James V. Hart (story), Chris Wedge (story), William Joyce (inspired by the book ""The Leaf Men and the Brave Good Bugs"")",52.0,6.7,Chris Wedge,24,May,2013-05-24,"Blake Anderson, Aziz Ansari, Allison Bills, Jim Conroy",Animation,1 win & 15 nominations.,102 min,movie,"55,536",2013,100,107,268
2013,Escape from Planet Earth,40000000,57012977.0,66454811.0,2013PASS,40000000,57012977.0,66454811.0,PG,True,English,USA,"Bob Barlen, Cal Brunker, Tony Leech (story), Cory Edwards (story)",35.0,5.9,Cal Brunker,15,February,2013-02-15,"Brendan Fraser, Rob Corddry, Ricky Gervais, Jonathan Morgan Heit",Animation,1 win.,89 min,movie,"14,047",2013,40,57,66
2013,Escape Plan,70000000,25213103.0,103813103.0,2013FAIL,70000000,25213103.0,103813103.0,R,True,"English, German, Arabic, Urdu",USA,"Miles Chapman (screenplay), Jason Keller (screenplay), Miles Chapman (story)",49.0,6.8,Mikael Håfström,18,October,2013-10-18,"Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel, Faran Tahir",Action,1 nomination.,115 min,movie,"79,262",2013,70,25,103
2013,Evil Dead,17000000,54239856.0,97402049.0,2013PASS,17000000,54239856.0,97402049.0,R,True,English,USA,"Fede Alvarez (screenplay), Rodo Sayagues (screenplay), Sam Raimi (based on the motion picture ""The Evil Dead"",  written by)",57.0,6.5,Fede Alvarez,5,April,2013-04-05,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas",Horror,1 win & 4 nominations.,91 min,movie,"86,833",2013,17,54,97
2013,Frozen,150000000,393050114.0,1004550114.0,2013PASS,150000000,393050114.0,1004550114.0,PG,True,English,USA,"Jennifer Lee (screenplay), Hans Christian Andersen (inspired by the story ""The Snow Queen"" by), Chris Buck (story), Jennifer Lee (story), Shane Morris (story), Dean Wellins (additional story)",74.0,7.9,"Chris Buck, Jennifer Lee",27,November,2013-11-27,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",Animation,Won 2 Oscars. Another 34 wins & 17 nominations.,102 min,movie,"1,66,804",2013,150,393,1004
2013,G.I. Joe: Retaliation,140000000,122523060.0,371923060.0,2013PASS,140000000,122523060.0,371923060.0,PG-13,True,English,USA,"Rhett Reese, Paul Wernick",41.0,5.9,Jon M. Chu,28,March,2013-03-28,"Dwayne Johnson, Jonathan Pryce, Byung-hun Lee, Elodie Yung",Action,9 nominations.,110 min,movie,"1,03,584",2013,140,122,371
2013,Gangster Squad,60000000,46000903.0,104100903.0,2013FAIL,60000000,46000903.0,104100903.0,R,True,English,USA,"Will Beall, Paul Lieberman (book)",40.0,6.8,Ruben Fleischer,11,January,2013-01-11,"Sean Penn, Holt McCallany, Wade Williams, James Landry Hébert",Action,1 win & 1 nomination.,113 min,movie,"1,30,219",2013,60,46,104
2013,Gloria,30000000,4167493.0,4967493.0,2013PASS,30000000,4167493.0,4967493.0,R,True,"Spanish, English",Chile,"Sebastián Lelio (screenplay), Gonzalo Maza (screenplay)",83.0,7.0,Sebastián Lelio,9,May,2013-05-09,"Paulina García, Sergio Hernández, Diego Fontecilla, Fabiola Zamora",Comedy,7 wins & 9 nominations.,110 min,movie,"2,578",2013,30,4,4
2013,Gravity,110000000,271814796.0,708714796.0,2013FAIL,110000000,271814796.0,708714796.0,PG-13,True,"English, Greenlandic",USA,"Alfonso Cuarón, Jonás Cuarón",96.0,8.2,Alfonso Cuarón,4,October,2013-10-04,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",Drama,Won 7 Oscars. Another 104 wins & 75 nominations.,91 min,movie,"3,27,703",2013,110,271,708
2013,Grown Ups 2,80000000,133668525.0,247023808.0,2013FAIL,80000000,133668525.0,247023808.0,PG-13,True,English,USA,"Fred Wolf, Adam Sandler, Tim Herlihy, Adam Sandler (based on characters created by), Fred Wolf (based on characters created by)",19.0,5.4,Dennis Dugan,12,July,2013-07-12,"Adam Sandler, Kevin James, Chris Rock, David Spade",Comedy,1 win & 11 nominations.,101 min,movie,"60,641",2013,80,133,247
2013,Her,23000000,25000178.0,33029713.0,2013FAIL,23000000,25000178.0,33029713.0,R,True,English,USA,Spike Jonze,90.0,8.3,Spike Jonze,10,January,2014-01-10,"Joaquin Phoenix, Lynn Adrianna, Lisa Renee Pitts, Gabe Gomez",Drama,Won 1 Oscar. Another 42 wins & 58 nominations.,126 min,movie,"89,605",2014,23,25,33
2013,Identity Thief,35000000,134506920.0,176269721.0,2013FAIL,35000000,134506920.0,176269721.0,R,True,English,USA,"Craig Mazin (screenplay), Jerry Eeten (story), Craig Mazin (story)",35.0,5.7,Seth Gordon,8,February,2013-02-08,"Jason Bateman, Melissa McCarthy, Jon Favreau, Amanda Peet",Comedy,1 win & 7 nominations.,111 min,movie,"65,325",2013,35,134,176
2013,Insidious: Chapter 2,5000000,83586447.0,161911222.0,2013FAIL,5000000,83586447.0,161911222.0,PG-13,True,English,USA,"Leigh Whannell (based on characters created by), James Wan (story), Leigh Whannell (story), Leigh Whannell (screenplay)",40.0,6.7,James Wan,13,September,2013-09-13,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye",Horror,1 win & 4 nominations.,106 min,movie,"47,327",2013,5,83,161
2013,Iron Man 3,200000000,408992272.0,1212692272.0,2013FAIL,200000000,408992272.0,1212692272.0,PG-13,True,English,USA,"Drew Pearce (screenplay), Shane Black (screenplay), Stan Lee (based on the Marvel comic book by), Don Heck (based on the Marvel comic book by), Larry Lieber (based on the Marvel comic book by), Jack Kirby (based on the Marvel comic book by), Warren Ellis (based on the ""Extremis"" mini-series written by), Adi Granov (based on the ""Extremis"" mini-series illustrated by)",62.0,7.4,Shane Black,3,May,2013-05-03,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce",Action,Nominated for 1 Oscar. Another 12 wins & 35 nominations.,130 min,movie,"3,50,466",2013,200,408,1212
2013,Jack the Giant Slayer,195000000,65187603.0,197387603.0,2013FAIL,195000000,65187603.0,197387603.0,PG-13,True,English,USA,"Darren Lemke (screenplay), Christopher McQuarrie (screenplay), Dan Studney (screenplay), Darren Lemke (story), David Dobkin (story)",51.0,6.3,Bryan Singer,1,March,2013-03-01,"Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor, Stanley Tucci",Adventure,2 wins & 3 nominations.,114 min,movie,"74,855",2013,195,65,197
2013,Kick-Ass 2,28000000,28795985.0,60839197.0,2013PASS,28000000,28795985.0,60839197.0,R,True,English,USA,"Jeff Wadlow (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)",41.0,6.8,Jeff Wadlow,16,August,2013-08-16,"Aaron Taylor-Johnson, Chloë Grace Moretz, Morris Chestnut, Claudia Lee",Action,1 win.,103 min,movie,"1,15,230",2013,28,28,60
2013,Last Vegas,28000000,63914167.0,112914167.0,2013FAIL,28000000,63914167.0,112914167.0,PG-13,True,English,USA,Dan Fogelman,48.0,6.7,Jon Turteltaub,1,November,2013-11-01,"Michael Douglas, Robert De Niro, Morgan Freeman, Kevin Kline",Comedy,,105 min,movie,"53,687",2013,28,63,112
2013,Machete Kills,2000000,8008161.0,9408161.0,2013PASS,2000000,8008161.0,9408161.0,R,True,"English, Spanish",Russia,"Kyle Ward (screenplay), Robert Rodriguez (story), Marcel Rodriguez (story)",41.0,5.8,Robert Rodriguez,11,October,2013-10-11,"Danny Trejo, Mel Gibson, Demian Bichir, Amber Heard",Action,1 nomination.,107 min,movie,"30,043",2013,2,8,9
2013,Mama,15000000,71628180.0,148041253.0,2013PASS,15000000,71628180.0,148041253.0,PG-13,True,English,Canada,"Andrés Muschietti (story), Barbara Muschietti (story), Neil Cross (screenplay), Andrés Muschietti (screenplay), Barbara Muschietti (screenplay)",57.0,6.3,Andrés Muschietti,18,January,2013-01-18,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nélisse",Horror,11 wins & 11 nominations.,100 min,movie,"84,452",2013,15,71,148
2013,Man of Steel,225000000,291045518.0,687999518.0,2013PASS,225000000,291045518.0,687999518.0,PG-13,True,English,USA,"David S. Goyer (screenplay), David S. Goyer (story), Christopher Nolan (story), Jerry Siegel (Superman created by), Joe Shuster (Superman created by)",55.0,7.4,Zack Snyder,14,June,2013-06-14,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",Action,4 wins & 16 nominations.,143 min,movie,"3,59,556",2013,225,291,687
2013,Nebraska,12000000,17482517.0,17482517.0,2013PASS,12000000,17482517.0,17482517.0,R,True,"English, Spanish",USA,Bob Nelson,86.0,7.9,Alexander Payne,24,January,2014-01-24,"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk",Adventure,Nominated for 6 Oscars. Another 26 wins & 61 nominations.,115 min,movie,"33,503",2014,12,17,17
2013,Now You See Me,75000000,117723989.0,351723989.0,2013FAIL,75000000,117723989.0,351723989.0,PG-13,True,English,France,"Ed Solomon (screenplay), Boaz Yakin (screenplay), Edward Ricourt (screenplay), Boaz Yakin (story), Edward Ricourt (story)",50.0,7.3,Louis Leterrier,31,May,2013-05-31,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher",Crime,1 win & 3 nominations.,115 min,movie,"2,80,199",2013,75,117,351
2013,Oblivion,120000000,89107235.0,287537983.0,2013FAIL,120000000,89107235.0,287537983.0,PG-13,True,English,USA,"Karl Gajdusek (screenplay), Michael Arndt (screenplay), Joseph Kosinski (graphic novel original story)",54.0,7.0,Joseph Kosinski,19,April,2013-04-19,"Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough",Action,8 nominations.,124 min,movie,"2,40,839",2013,120,89,287
2013,Olympus Has Fallen,70000000,98927592.0,150562164.0,2013FAIL,70000000,98927592.0,150562164.0,R,True,"English, Korean",USA,"Creighton Rothenberger, Katrin Benedikt",41.0,6.5,Antoine Fuqua,22,March,2013-03-22,"Gerard Butler, Aaron Eckhart, Finley Jacobsen, Dylan McDermott",Action,2 nominations.,119 min,movie,"1,32,564",2013,70,98,150
2013,Oz the Great and Powerful,200000000,234770996.0,489570996.0,2013PASS,200000000,234770996.0,489570996.0,PG,True,English,USA,"Mitchell Kapner (screenplay), David Lindsay-Abaire (screenplay), Mitchell Kapner (screen story), L. Frank Baum (""Oz"" works)",44.0,6.4,Sam Raimi,8,March,2013-03-08,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams",Adventure,3 wins & 24 nominations.,130 min,movie,"1,35,860",2013,200,234,489
2013,Pacific Rim,190000000,101802906.0,411002906.0,2013FAIL,190000000,101802906.0,411002906.0,PG-13,True,"English, Japanese, Cantonese, Mandarin",USA,"Travis Beacham (screenplay), Guillermo del Toro (screenplay), Travis Beacham (story)",64.0,7.1,Guillermo del Toro,12,July,2013-07-12,"Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi",Action,Nominated for 1 BAFTA Film Award. Another 6 wins & 14 nominations.,131 min,movie,"2,26,148",2013,190,101,411
